t_s,x_m,y_m
0.0,0.02530868471411691,-0.0052196877167535296
0.0166880988401412,0.025421180221090776,-0.0042541313539314176
0.0333761976802824,0.02546139860702962,-0.0033240608156955473
0.0500642965204236,0.025431223551676166,-0.0023820089647331394
0.0667523953605648,0.02542908770763637,-0.001434495152578452
0.083440494200706,0.02543414872938284,-0.00042398155890003425
0.1001285930408472,0.025308096826492495,0.0005757455412935544
0.11681669188098841,0.025188619799955694,0.001528474772052404
0.1335047907211296,0.025019664115097963,0.0024544554262803074
0.1501928895612708,0.02482468257761809,0.0033896245506273423
0.166880988401412,0.024610340249078582,0.004330670679033624
0.1835690872415532,0.02435318345823303,0.005266252615009438
0.2002571860816944,0.02409437094765425,0.0062191740208000475
0.21694528492183562,0.02375335595449023,0.007120488082104763
0.23363338376197682,0.023435147214759387,0.007992087469942628
0.250321482602118,0.023056085495063685,0.00888661863713529
0.2670095814422592,0.022646613428587974,0.009801169902468336
0.2836976802824004,0.02221691117297415,0.010696701664365779
0.3003857791225416,0.021709653072473585,0.01156682760101564
0.3170738779626828,0.021152487239173623,0.012414133478038809
0.333761976802824,0.02060072053829608,0.013226548078345684
0.3504500756429652,0.02003672719238697,0.014031926916573576
0.3671381744831064,0.019401503648669362,0.014811449496310655
0.3838262733232476,0.018765116613726443,0.01558779769527375
0.4005143721633888,0.018109917828293895,0.01632994906328239
0.41720247100353003,0.017403786056673858,0.01702925094067502
0.43389056984367125,0.016743990355123965,0.017688033244308548
0.4505786686838124,0.016053166586563083,0.01834611208723674
0.46726676752395363,0.015282248675043906,0.01896419578174725
0.48395486636409485,0.014569308106036415,0.019571055679409245
0.500642965204236,0.013815447026651042,0.020106651542437497
0.5173310640443772,0.013047750857366236,0.02061207198322584
0.5340191628845185,0.012260652669196575,0.021113420007100422
0.5507072617246597,0.011495398117155177,0.021551046122823814
0.5673953605648008,0.010634466298117439,0.02198496911779685
0.584083459404942,0.009799589962891792,0.0223897489169187
0.6007715582450832,0.008989216765555825,0.022748530873291477
0.6174596570852244,0.008119075764310894,0.023089954580985415
0.6341477559253657,0.007238151298487833,0.023384213671640505
0.6508358547655069,0.00634527339915082,0.023618854020229875
0.667523953605648,0.005428657914586244,0.023861397023553343
0.6842120524457892,0.004549562196012698,0.02406919963096709
0.7009001512859304,0.003684845039177983,0.0242095125361307
0.7175882501260716,0.0027552513418605535,0.024374983893275633
0.7342763489662129,0.0018711546204195518,0.024488145682296222
0.7509644478063541,0.0009700714069602291,0.024550332058335785
0.7676525466464952,3.403233558411464e-05,0.024638072576472658
0.7843406454866364,-0.0008232032063584473,0.024670638660461784
0.8010287443267776,-0.0016992117485330137,0.024669437940139306
0.8177168431669188,-0.0025842420368338923,0.024625322792586245
0.8344049420070601,-0.0034701519952887016,0.02453251882803469
0.8510930408472013,-0.004334622176389292,0.024405075903848814
0.8677811396873425,-0.005246996905872643,0.024289004252317854
0.8844692385274836,-0.006100088609524331,0.0241345809190366
0.9011573373676248,-0.006930282740201763,0.02396693562847409
0.917845436207766,-0.007796596460676594,0.02375178182873597
0.9345335350479073,-0.008647253181561489,0.02350881904829394
0.9512216338880485,-0.009468406463835599,0.023238521090555464
0.9679097327281897,-0.01029476105021502,0.02293102314410637
0.9845978315683308,-0.011066747585090774,0.022674377307439444
1.001285930408472,-0.011788527960618956,0.02232760327316134
1.0179740292486132,-0.01254256080190815,0.02196988591829854
1.0346621280887545,-0.013318419899189131,0.021578720140258602
1.0513502269288957,-0.014051929989492892,0.021196683195389174
1.068038325769037,-0.01473968665206446,0.020802756074260544
1.0847264246091781,-0.01538742162793516,0.02037159175637904
1.1014145234493193,-0.016054215552947972,0.019887362667190038
1.1181026222894606,-0.01670606925687897,0.019424595377631814
1.1347907211296016,-0.0173449271649422,0.018902247767750572
1.1514788199697428,-0.01796288429442061,0.018419062565820477
1.168166918809884,-0.018527899141500874,0.01789953227036075
1.1848550176500252,-0.01909783066487594,0.01741535917387398
1.2015431164901664,-0.019668201211409064,0.016858225621441666
1.2182312153303076,-0.020226157149236704,0.01622003317502869
1.2349193141704489,-0.020759060194316597,0.015664078822412147
1.25160741301059,-0.021185693575317254,0.01507670816547407
1.2682955118507313,-0.0215626829327684,0.014450580149511782
1.2849836106908725,-0.02200925040601556,0.013808778644234585
1.3016717095310137,-0.022375219743423845,0.013135260754047147
1.318359808371155,-0.02272505525599513,0.01243482215984186
1.335047907211296,-0.02307475686473164,0.011807030444451637
1.3517360060514372,-0.02337766659606054,0.011134635420248555
1.3684241048915784,-0.023652754430267764,0.010462463884500436
1.3851122037317196,-0.0239886685594298,0.009789187135580543
1.4018003025718608,-0.024257017997749777,0.009111382364276726
1.418488401412002,-0.024550759613347017,0.008384441781994231
1.4351765002521433,-0.02476974596128758,0.007698640119774222
1.4518645990922845,-0.02496249381511078,0.00698782858989045
1.4685526979324257,-0.02511564364125517,0.006251788626348836
1.485240796772567,-0.02528056951112103,0.005480585017304899
1.5019288956127081,-0.025415256843603656,0.004700211508477412
1.5186169944528494,-0.02543557249181757,0.0039396508862294625
1.5353050932929904,-0.025495779564224448,0.003181493551265593
1.5519931921331316,-0.025537676166296923,0.002417493992039265
1.5686812909732728,-0.0255173429390889,0.001620605080194271
1.585369389813414,-0.02550852286559915,0.0008527378282867266
1.6020574886535552,-0.025439896997589303,9.044488275257426e-05
1.6187455874936965,-0.02537560690990508,-0.0006606754011987967
1.6354336863338377,-0.025205606635662223,-0.0014343731653081095
1.652121785173979,-0.025035278865831408,-0.0022033007380244662
1.6688098840141201,-0.024841156360255537,-0.0029795088293470924
1.6854979828542613,-0.024665634253639417,-0.003766863529364218
1.7021860816944026,-0.02444326713369153,-0.004510323970164808
1.7188741805345438,-0.024145616288034653,-0.005291014525657577
1.735562279374685,-0.023854974994992603,-0.006026534918725158
1.752250378214826,-0.023549048307197576,-0.006803976669856316
1.7689384770549672,-0.023159600255513713,-0.007564828947761644
1.7856265758951084,-0.022777074557534548,-0.008307668520115363
1.8023146747352496,-0.02235176800356675,-0.009017882067379456
1.8190027735753909,-0.021875261240732337,-0.009741359824023762
1.835690872415532,-0.021392515812942686,-0.010415953386066603
1.8523789712556733,-0.020904425899350255,-0.011149909513281498
1.8690670700958145,-0.02038100226356166,-0.011828172672384448
1.8857551689359557,-0.019830626534731614,-0.012510578502184917
1.902443267776097,-0.01919272622041697,-0.013160567784884392
1.9191313666162382,-0.018591295572505256,-0.013839631390929174
1.9358194654563794,-0.017954657302920837,-0.01451412258660922
1.9525075642965204,-0.017289053971017918,-0.015163418140582252
1.9691956631366616,-0.016600299897005063,-0.015787624452208326
1.9858837619768028,-0.015889004786235023,-0.016372541865532154
2.002571860816944,-0.01511620340594003,-0.016951746830603423
2.0192599596570853,-0.014328178289772488,-0.017528673927336137
2.0359480584972265,-0.013564553945906726,-0.01805811467047541
2.0526361573373677,-0.012723085168840242,-0.018578236022331714
2.069324256177509,-0.011871864124781167,-0.01904856921656117
2.08601235501765,-0.0110112839775468,-0.0194783959007639
2.1027004538577914,-0.010112363765154685,-0.019907057200119767
2.1193885526979326,-0.009233563170968954,-0.02029163122356043
2.136076651538074,-0.008356339303233092,-0.020615841933752304
2.152764750378215,-0.0074545986340421345,-0.020884640374327433
2.1694528492183562,-0.006543649882690272,-0.021135749012157545
2.1861409480584975,-0.005616749813659246,-0.02136543067361621
2.2028290468986387,-0.004640155025235269,-0.02155517874670215
2.21951714573878,-0.003657632290396411,-0.02172490490441336
2.236205244578921,-0.0027266437658022553,-0.021805193510098003
2.252893343419062,-0.0017340159863362215,-0.021858198714375558
2.269581442259203,-0.0007434095577166216,-0.02184426454988041
2.2862695410993443,0.00023812184966030868,-0.021809993425378035
2.3029576399394855,0.0012745173710777206,-0.021711290443279196
2.3196457387796268,0.002263775659288478,-0.02158839898823872
2.336333837619768,0.003239465228733228,-0.021381391080429534
2.353021936459909,0.004276328966513296,-0.021163754990827306
2.3697100353000504,0.005265898514903541,-0.02090395410017748
2.3863981341401916,0.006290688697353403,-0.02057698590311627
2.403086232980333,0.0072996875238375515,-0.020195192988765015
2.419774331820474,0.00826606536269998,-0.019745171761998685
2.4364624306606153,0.00921584820818787,-0.019221791866773752
2.4531505295007565,0.010154011962384867,-0.018644516593930963
2.4698386283408977,0.01106021134412816,-0.018052702846760974
2.486526727181039,0.011917342003339519,-0.017346409221106397
2.50321482602118,0.012759702674107002,-0.016655221165065452
2.5199029248613214,0.013568742893471257,-0.01584850028853488
2.5365910237014626,0.014364561536414085,-0.01500036353792009
