t_s,x_m,y_m
0.0,-0.01821526408064869,0.0034901919027337165
0.0166880988401412,-0.018516545641287314,0.002386714684303674
0.0333761976802824,-0.018746423012300718,0.001270035364348323
0.0500642965204236,-0.018869703030808115,0.0001352376586937754
0.0667523953605648,-0.01894356550382191,-0.0010233883874909422
0.083440494200706,-0.01899400073775241,-0.002176397428327221
0.1001285930408472,-0.018991331245312687,-0.0033503440939080544
0.11681669188098841,-0.018837390176066306,-0.004521883238852528
0.1335047907211296,-0.018600364317846074,-0.005678393964106653
0.1501928895612708,-0.01828198135027121,-0.006854614133650121
0.166880988401412,-0.01798222089059448,-0.007986243125529808
0.1835690872415532,-0.017640876094757136,-0.009123624272972052
0.2002571860816944,-0.017175964412267035,-0.010220433390602114
0.21694528492183562,-0.01660476296602233,-0.011292544051557399
0.23363338376197682,-0.0159840730125228,-0.012349632646990249
0.250321482602118,-0.015326358186859302,-0.0133361374141457
0.2670095814422592,-0.014672724911652078,-0.014306164271691532
0.2836976802824004,-0.013976288899846588,-0.015216300496749196
0.3003857791225416,-0.013196367893433337,-0.01607727255616223
0.3170738779626828,-0.012317659385750065,-0.016935659355562734
0.333761976802824,-0.011464353740193918,-0.017745004244780194
0.3504500756429652,-0.010634808691302752,-0.018488183785830083
0.3671381744831064,-0.009735188681074428,-0.019188425668875242
0.3838262733232476,-0.008829066784293946,-0.019887685066999065
0.4005143721633888,-0.007847605845211072,-0.02050109597707565
0.41720247100353003,-0.006778597890796297,-0.021068693022011212
0.43389056984367125,-0.005800673442179853,-0.021558152074658474
0.4505786686838124,-0.004794830071309358,-0.021958942118039754
0.46726676752395363,-0.0037656861568288336,-0.022331632934218318
0.48395486636409485,-0.002720429755997422,-0.022633601744309593
0.500642965204236,-0.0015862829173061126,-0.022847302189586298
0.5173310640443772,-0.000465620248357145,-0.023021677586637847
0.5340191628845185,0.0005762918806443276,-0.02311887437632987
0.5507072617246597,0.0016827380148244254,-0.023182291751101022
0.5673953605648008,0.0027961672008546975,-0.023245955580210375
0.584083459404942,0.003891133148019898,-0.02318851443694279
0.6007715582450832,0.005017341873517019,-0.023104950986079547
0.6174596570852244,0.006092311023265712,-0.0229414763081591
0.6341477559253657,0.007110815712886718,-0.022739403594433175
0.6508358547655069,0.008136564962217503,-0.02252168984595755
0.667523953605648,0.009205134590552418,-0.02228697042366105
0.6842120524457892,0.010177395497197074,-0.02194343223144527
0.7009001512859304,0.011190622985631856,-0.021578400965564317
0.7175882501260716,0.012153384729886463,-0.021153129039883558
0.7342763489662129,0.013060109048040077,-0.020715677072706242
0.7509644478063541,0.014015672883753548,-0.020222384804667898
0.7676525466464952,0.014903869022096446,-0.019753724666266483
0.7843406454866364,0.015760211570784468,-0.01914454622729486
0.8010287443267776,0.016600149505102094,-0.01852134950870461
0.8177168431669188,0.017392670518227713,-0.017854262214747143
0.8344049420070601,0.01816096197052119,-0.017135641857755898
0.8510930408472013,0.018943159483232896,-0.01642331435513689
0.8677811396873425,0.019662864343633565,-0.015651698444006122
0.8844692385274836,0.02032217037779066,-0.014851020508404377
0.9011573373676248,0.021054005829327586,-0.013962654441792418
0.917845436207766,0.021589769305895058,-0.01308092955108089
